date,imgpath,avgTemp,sumRain,avgWind
2024-03-16,img/183_ki_5.jpg,13.4,0.0,2.1
2024-03-16,img/183_ki_5.jpg,10.3,0.0,1.2
2024-03-12,img/183_ki_6.jpg,6.6,2.1,0.0
2024-03-12,img/183_ki_6.jpg,8.0,3.3,2.4
2024-03-12,img/183_ki_6.jpg,6.7,0.0,1.7
2024-03-12,img/183_ki_6.jpg,6.3,0.0,2.7
2024-03-12,img/183_ki_6.jpg,5.3,0.0,1.0
2024-03-12,img/183_ki_6.jpg,5.6,2.0,1.4
2024-03-12,img/183_ki_6.jpg,6.7,0.7,2.3
2024-03-12,img/183_ki_6.jpg,5.7,2.4,1.3
2024-03-12,img/183_ki_6.jpg,6.6,1.0,0.9
2024-03-12,img/183_ki_6.jpg,4.6,1.0,0.8
2024-03-12,img/183_ki_6.jpg,6.2,0.2,1.9
2024-03-12,img/183_ki_6.jpg,5.6,1.0,3.7
2024-03-12,img/183_ki_6.jpg,5.0,2.7,1.0
2024-03-12,img/183_ki_6.jpg,7.7,0.3,1.4
2024-03-12,img/183_ki_6.jpg,9.7,0.0,3.8
2024-03-12,img/183_ki_6.jpg,3.9,0.0,0.7
2024-03-12,img/haveyun.ootd_10.jpg,6.6,2.1,0.0
2024-03-12,img/haveyun.ootd_10.jpg,8.0,3.3,2.4
2024-03-12,img/haveyun.ootd_10.jpg,6.7,0.0,1.7
2024-03-12,img/haveyun.ootd_10.jpg,6.3,0.0,2.7
2024-03-12,img/haveyun.ootd_10.jpg,5.3,0.0,1.0
2024-03-12,img/haveyun.ootd_10.jpg,5.6,2.0,1.4
2024-03-12,img/haveyun.ootd_10.jpg,6.7,0.7,2.3
2024-03-12,img/haveyun.ootd_10.jpg,5.7,2.4,1.3
2024-03-12,img/haveyun.ootd_10.jpg,6.6,1.0,0.9
2024-03-12,img/haveyun.ootd_10.jpg,4.6,1.0,0.8
2024-03-12,img/haveyun.ootd_10.jpg,6.2,0.2,1.9
2024-03-12,img/haveyun.ootd_10.jpg,5.6,1.0,3.7
2024-03-12,img/haveyun.ootd_10.jpg,5.0,2.7,1.0
2024-03-12,img/haveyun.ootd_10.jpg,7.7,0.3,1.4
2024-03-12,img/haveyun.ootd_10.jpg,9.7,0.0,3.8
2024-03-12,img/haveyun.ootd_10.jpg,3.9,0.0,0.7
2024-03-12,img/ouneul_look_11.jpg,6.6,2.1,0.0
2024-03-12,img/ouneul_look_11.jpg,8.0,3.3,2.4
2024-03-12,img/ouneul_look_11.jpg,6.7,0.0,1.7
2024-03-12,img/ouneul_look_11.jpg,6.3,0.0,2.7
2024-03-12,img/ouneul_look_11.jpg,5.3,0.0,1.0
2024-03-12,img/ouneul_look_11.jpg,5.6,2.0,1.4
2024-03-12,img/ouneul_look_11.jpg,6.7,0.7,2.3
